year;state;sex;race;age;deaths;population ;crude_rate
2013;Alabama;Female;White;25-34;15;207617;Unreliable
2013;Alabama;Female;White;35-44;11;212735;Unreliable
2013;Alabama;Female;White;45-54;15;240989;Unreliable
2013;Alabama;Male;White;15-24;13;225800;Unreliable
2013;Alabama;Male;White;25-34;33;211864;15.6
2013;Alabama;Male;White;35-44;19;214464;Unreliable
2013;Alabama;Male;White;45-54;18;239311;Unreliable
2013;Alabama;Male;White;55-64;11;223435;Unreliable
2013;Alaska;Male;White;25-34;13;44285;Unreliable
2013;Alaska;Male;White;35-44;13;34698;Unreliable
2013;Arizona;Female;White;15-24;17;370679;Unreliable
2013;Arizona;Female;White;25-34;29;351867;8.2
2013;Arizona;Female;White;35-44;46;343447;13.4
2013;Arizona;Female;White;45-54;53;363318;14.6
2013;Arizona;Female;White;55-64;40;363780;11.0
2013;Arizona;Female;White;65-74;10;286812;Unreliable
2013;Arizona;Male;White;15-24;48;394845;12.2
2013;Arizona;Male;White;25-34;74;374252;19.8
2013;Arizona;Male;White;35-44;48;351410;13.7
2013;Arizona;Male;White;45-54;72;358518;20.1
2013;Arizona;Male;White;55-64;39;331106;11.8
2013;Arkansas;Female;White;25-34;13;148037;Unreliable
2013;Arkansas;Female;White;35-44;12;146451;Unreliable
2013;Arkansas;Female;White;45-54;19;161237;Unreliable
2013;Arkansas;Female;White;55-64;18;158654;Unreliable
2013;Arkansas;Male;White;15-24;15;159919;Unreliable
2013;Arkansas;Male;White;25-34;23;153606;15.0
2013;Arkansas;Male;White;35-44;17;148483;Unreliable
2013;Arkansas;Male;White;45-54;15;160992;Unreliable
2013;California;Female;Black or African American;35-44;12;177377;Unreliable
2013;California;Female;Black or African American;45-54;25;192505;13.0
2013;California;Female;Black or African American;55-64;13;154517;Unreliable
2013;California;Female;White;15-24;38;2023813;1.9
2013;California;Female;White;25-34;63;1974579;3.2
2013;California;Female;White;35-44;92;1848669;5.0
2013;California;Female;White;45-54;176;1930273;9.1
2013;California;Female;White;55-64;158;1701920;9.3
2013;California;Female;White;65-74;50;1105994;4.5
2013;California;Male;Black or African American;45-54;21;187068;11.2
2013;California;Male;Black or African American;55-64;26;141134;18.4
2013;California;Male;White;15-24;121;2170269;5.6
2013;California;Male;White;25-34;273;2154943;12.7
2013;California;Male;White;35-44;211;1934166;10.9
2013;California;Male;White;45-54;267;1976801;13.5
2013;California;Male;White;55-64;234;1638949;14.3
2013;California;Male;White;65-74;50;985141;5.1
2013;Colorado;Female;White;15-24;16;298950;Unreliable
2013;Colorado;Female;White;25-34;23;331171;6.9
2013;Colorado;Female;White;35-44;40;307821;13.0
2013;Colorado;Female;White;45-54;44;325586;13.5
2013;Colorado;Female;White;55-64;26;309089;8.4
2013;Colorado;Female;White;65-74;10;187224;Unreliable
2013;Colorado;Male;White;15-24;46;324928;14.2
2013;Colorado;Male;White;25-34;61;357255;17.1
2013;Colorado;Male;White;35-44;42;326276;12.9
2013;Colorado;Male;White;45-54;52;322864;16.1
2013;Colorado;Male;White;55-64;36;297444;12.1
2013;Connecticut;Female;White;25-34;29;168257;17.2
2013;Connecticut;Female;White;35-44;30;180612;16.6
2013;Connecticut;Female;White;45-54;33;241708;13.7
2013;Connecticut;Female;White;55-64;22;216084;10.2
2013;Connecticut;Male;White;15-24;37;200491;18.5
2013;Connecticut;Male;White;25-34;78;173643;44.9
2013;Connecticut;Male;White;35-44;57;176071;32.4
2013;Connecticut;Male;White;45-54;66;231242;28.5
2013;Connecticut;Male;White;55-64;37;205031;18.0
2013;Delaware;Male;White;25-34;17;42218;Unreliable
2013;Delaware;Male;White;35-44;17;38036;Unreliable
2013;Delaware;Male;White;45-54;20;46943;42.6
2013;District of Columbia;Male;Black or African American;55-64;18;18774;Unreliable
2013;Florida;Female;White;15-24;17;879727;Unreliable
2013;Florida;Female;White;25-34;69;898463;7.7
2013;Florida;Female;White;35-44;98;921450;10.6
2013;Florida;Female;White;45-54;156;1111053;14.0
2013;Florida;Female;White;55-64;100;1096427;9.1
2013;Florida;Female;White;65-74;27;929927;2.9
2013;Florida;Male;White;15-24;54;935040;5.8
2013;Florida;Male;White;25-34;184;946207;19.4
2013;Florida;Male;White;35-44;167;934576;17.9
2013;Florida;Male;White;45-54;193;1089555;17.7
2013;Florida;Male;White;55-64;109;992386;11.0
2013;Florida;Male;White;65-74;17;823906;Unreliable
2013;Georgia;Female;White;25-34;22;403085;5.5
2013;Georgia;Female;White;35-44;49;419606;11.7
2013;Georgia;Female;White;45-54;71;449295;15.8
2013;Georgia;Female;White;55-64;32;405733;7.9
2013;Georgia;Male;White;15-24;38;433524;8.8
2013;Georgia;Male;White;25-34;79;423540;18.7
2013;Georgia;Male;White;35-44;69;430535;16.0
2013;Georgia;Male;White;45-54;58;453442;12.8
2013;Georgia;Male;White;55-64;38;382489;9.9
2013;Hawaii;Male;White;55-64;11;31415;Unreliable
2013;Idaho;Female;White;45-54;11;96084;Unreliable
2013;Idaho;Male;White;55-64;11;93374;Unreliable
2013;Illinois;Female;Black or African American;35-44;12;133362;Unreliable
2013;Illinois;Female;Black or African American;45-54;18;138927;Unreliable
2013;Illinois;Female;Black or African American;55-64;16;119754;Unreliable
2013;Illinois;Female;White;15-24;29;650951;4.5
2013;Illinois;Female;White;25-34;70;676389;10.3
2013;Illinois;Female;White;35-44;52;643385;8.1
2013;Illinois;Female;White;45-54;57;720923;7.9
2013;Illinois;Female;White;55-64;32;659130;4.9
