year;state;sex;race;age;deaths;population;crude_rate
2021;Alabama;Female;Black or African American;25-34;28;104371;26.8
2021;Alabama;Female;Black or African American;35-44;24;95581;25.1
2021;Alabama;Female;Black or African American;45-54;10;87807;11.4
2021;Alabama;Female;White;15-24;21;207378;10.1
2021;Alabama;Female;White;25-34;54;213845;25.3
2021;Alabama;Female;White;35-44;77;210346;36.6
2021;Alabama;Female;White;45-54;44;218649;20.1
2021;Alabama;Female;White;55-64;31;245661;12.6
2021;Alabama;Male;Black or African American;15-24;11;96789;11.4
2021;Alabama;Male;Black or African American;25-34;39;95309;40.9
2021;Alabama;Male;Black or African American;35-44;54;78560;68.7
2021;Alabama;Male;Black or African American;45-54;38;71161;53.4
2021;Alabama;Male;Black or African American;55-64;17;74817;22.7
2021;Alabama;Male;White;15-24;38;215161;17.7
2021;Alabama;Male;White;25-34;131;214381;61.1
2021;Alabama;Male;White;35-44;170;210579;80.7
2021;Alabama;Male;White;45-54;82;221551;37.0
2021;Alabama;Male;White;55-64;62;240037;25.8
2021;Alabama;Male;White;65-74;10;192493;5.2
2021;Alaska;Female;American Indian or Alaska Native;25-34;11;8583;128.2
2021;Alaska;Female;American Indian or Alaska Native;35-44;12;6865;174.8
2021;Alaska;Female;White;25-34;12;33549;35.8
2021;Alaska;Female;White;45-54;10;26568;37.6
2021;Alaska;Male;White;15-24;10;30663;32.6
2021;Alaska;Male;White;25-34;18;38539;46.7
2021;Alaska;Male;White;35-44;17;37105;45.8
2021;Alaska;Male;White;45-54;16;31235;51.2
2021;Arizona;Female;American Indian or Alaska Native;25-34;15;30276;49.5
2021;Arizona;Female;American Indian or Alaska Native;35-44;12;25098;47.8
2021;Arizona;Female;Black or African American;25-34;13;31480;41.3
2021;Arizona;Female;Black or African American;35-44;11;26822;41.0
2021;Arizona;Female;White;15-24;57;373217;15.3
2021;Arizona;Female;White;25-34;100;380326;26.3
2021;Arizona;Female;White;35-44;93;356796;26.1
2021;Arizona;Female;White;45-54;81;349285;23.2
2021;Arizona;Female;White;55-64;82;390008;21.0
2021;Arizona;Female;White;65-74;23;371710;6.2
